horas,consumo
0.0,4.40347992732337
1.0,4.16373065818264
2.0,3.95104209067692
3.0,3.6247917876229594
4.0,3.34476035183358
5.0,3.2518151047770205
6.0,3.84043592491686
7.0,3.805163576345519
8.0,3.14290983338439
9.0,2.58951430392876
10.0,2.34792421051803
11.0,2.1972434559378202
12.0,2.50972204631595
13.0,2.2488242564816097
14.0,2.03182470602542
15.0,1.91176627919282
16.0,2.00713162351463
17.0,2.54801204530056
18.0,5.2523221052947795
19.0,7.18903715639639
20.0,7.411209506622259
21.0,7.188360522582469
22.0,7.110511116159071
23.0,5.54509237178615
