horas,consumo
0.0,4.40347992732337
0.07958477508650519,4.384399535661651
0.15916955017301038,4.3653191439999315
0.23875432525951557,4.346238752338213
0.31833910034602075,4.327158360676495
0.39792387543252594,4.308077969014775
0.47750865051903113,4.288997577353056
0.5570934256055363,4.269917185691337
0.6366782006920415,4.250836794029618
0.7162629757785467,4.231756402367899
0.7958477508650519,4.21267601070618
0.8754325259515571,4.19359561904446
0.9550173010380623,4.1745152273827415
1.0346020761245676,4.156371192178982
1.1141868512110726,4.139444420370568
1.1937716262975777,4.122517648562154
1.273356401384083,4.10559087675374
1.3529411764705883,4.088664104945327
1.4325259515570934,4.071737333136913
1.5121107266435985,4.0548105613285
1.5916955017301038,4.037883789520086
1.671280276816609,4.020957017711672
1.7508650519031141,4.004030245903259
1.8304498269896192,3.987103474094845
1.9100346020761245,3.970176702286431
1.9896193771626298,3.9532499304780178
2.069204152249135,3.9284642150330473
2.14878892733564,3.9024996580425935
2.2283737024221453,3.87653510105214
2.3079584775086506,3.8505705440616866
2.3875432525951554,3.824605987071233
2.4671280276816607,3.7986414300807794
2.546712802768166,3.7726768730903255
2.6262975778546713,3.746712316099872
2.7058823529411766,3.7207477591094182
2.7854671280276815,3.694783202118965
2.865051903114187,3.668818645128511
2.944636678200692,3.6428540881380576
3.024221453287197,3.61800901928204
3.1038062283737022,3.5957227804475913
3.1833910034602075,3.5734365416131424
3.262975778546713,3.5511503027786935
3.342560553633218,3.5288640639442446
3.422145328719723,3.5065778251097957
3.5017301038062283,3.484291586275347
3.5813148788927336,3.462005347440898
3.6608996539792384,3.439719108606449
3.7404844290657437,3.4174328697720004
3.820069204152249,3.3951466309375515
3.8996539792387543,3.3728603921031026
3.9792387543252596,3.3505741532686533
4.0588235294117645,3.339292984359665
4.13840830449827,3.331895957777309
4.217993079584775,3.324498931194953
4.29757785467128,3.317101904612597
4.377162629757786,3.3097048780302414
4.4567474048442905,3.3023078514478854
4.536332179930795,3.2949108248655294
4.615916955017301,3.2875137982831735
4.695501730103806,3.2801167717008175
4.775086505190311,3.2727197451184615
4.854671280276817,3.2653227185361056
4.9342560553633215,3.2579256919537496
5.013840830449827,3.2599621057478143
5.093425605536332,3.3068073613298776
5.173010380622837,3.3536526169119405
5.252595155709343,3.4004978724940043
5.3321799307958475,3.4473431280760676
5.411764705882353,3.494188383658131
5.491349480968858,3.541033639240194
