horas,consumo
0.0,4.595999351941001
1.0,4.399999350423999
2.0,4.137999997289
3.0,3.756999350573
4.0,3.373998697738
5.0,3.071000750651
6.0,3.182999248129
7.0,3.16599870149
8.0,2.8679999989889997
9.0,2.5399998977849996
10.0,2.389999700806
11.0,2.2660004991430007
12.0,2.571998699135
13.0,2.3640009986269996
14.0,2.144998350585
15.0,2.050001698631
16.0,2.1589989979479998
17.0,2.626000249556
18.0,5.275001650864999
19.0,6.991998401585999
20.0,7.083998949334
21.0,7.043998849716
22.0,7.217000748921001
23.0,5.757998048527999
